聚源内部编码,股票代码,万得代码
InnerCode,SecuCode,WindCode
3,000001,000001.SZ
6,000002,000002.SZ
14,000004,000004.SZ
17,000005,000005.SZ
20,000006,000006.SZ
23,000007,000007.SZ
26,000008,000008.SZ
28,000009,000009.SZ
31,000010,000010.SZ
34,000011,000011.SZ
38,000012,000012.SZ
43,000014,000014.SZ
47,000016,000016.SZ
49,000017,000017.SZ
51,000018,000018.SZ
53,000019,000019.SZ
55,000020,000020.SZ
57,000021,000021.SZ
58,000022,000022.SZ
60,000023,000023.SZ
61,000024,000024.SZ
63,000025,000025.SZ
65,000026,000026.SZ
67,000027,000027.SZ
68,000028,000028.SZ
70,000029,000029.SZ
72,000030,000030.SZ
74,000031,000031.SZ
75,000032,000032.SZ
76,000033,000033.SZ
77,000034,000034.SZ
78,000035,000035.SZ
79,000036,000036.SZ
80,000037,000037.SZ
82,000038,000038.SZ
83,000039,000039.SZ
85,000040,000040.SZ
86,000042,000042.SZ
87,000043,000043.SZ
88,000045,000045.SZ
90,000046,000046.SZ
92,000048,000048.SZ
93,000049,000049.SZ
94,000050,000050.SZ
95,000055,000055.SZ
97,000056,000056.SZ
99,000058,000058.SZ
101,000059,000059.SZ
102,000060,000060.SZ
103,000061,000061.SZ
104,000062,000062.SZ
105,000063,000063.SZ
106,000065,000065.SZ
107,000066,000066.SZ
108,000068,000068.SZ
109,000069,000069.SZ
111,000070,000070.SZ
112,000078,000078.SZ
113,000088,000088.SZ
114,000089,000089.SZ
115,000090,000090.SZ
116,000096,000096.SZ
117,000099,000099.SZ
118,000100,000100.SZ
119,000150,000150.SZ
120,000151,000151.SZ
121,000153,000153.SZ
122,000155,000155.SZ
123,000156,000156.SZ
124,000157,000157.SZ
125,000158,000158.SZ
126,000159,000159.SZ
141,000301,000301.SZ
147,000400,000400.SZ
148,000401,000401.SZ
149,000402,000402.SZ
150,000403,000403.SZ
151,000404,000404.SZ
153,000406,000406.SZ
154,000407,000407.SZ
155,000408,000408.SZ
156,000409,000409.SZ
157,000410,000410.SZ
158,000411,000411.SZ
160,000413,000413.SZ
162,000415,000415.SZ
163,000416,000416.SZ
164,000417,000417.SZ
165,000418,000418.SZ
167,000419,000419.SZ
168,000420,000420.SZ
169,000421,000421.SZ
170,000422,000422.SZ
171,000423,000423.SZ
172,000425,000425.SZ
173,000426,000426.SZ
174,000428,000428.SZ
175,000429,000429.SZ
177,000430,000430.SZ
178,000488,000488.SZ
180,000498,000498.SZ
181,000501,000501.SZ
182,000502,000502.SZ
184,000503,000503.SZ
185,000504,000504.SZ
186,000505,000505.SZ
188,000506,000506.SZ
189,000507,000507.SZ
190,000508,000508.SZ
191,000509,000509.SZ
192,000510,000510.SZ
193,000511,000511.SZ
194,000513,000513.SZ
196,000514,000514.SZ
197,000515,000515.SZ
198,000516,000516.SZ
199,000517,000517.SZ
200,000518,000518.SZ
201,000519,000519.SZ
202,000520,000520.SZ
203,000521,000521.SZ
205,000522,000522.SZ
206,000523,000523.SZ
207,000524,000524.SZ
208,000525,000525.SZ
209,000526,000526.SZ
210,000527,000527.SZ
211,000528,000528.SZ
212,000529,000529.SZ
213,000530,000530.SZ
215,000531,000531.SZ
216,000532,000532.SZ
217,000533,000533.SZ
218,000534,000534.SZ
220,000536,000536.SZ
221,000537,000537.SZ
222,000538,000538.SZ
223,000539,000539.SZ
225,000540,000540.SZ
226,000541,000541.SZ
228,000542,000542.SZ
229,000543,000543.SZ
230,000544,000544.SZ
231,000545,000545.SZ
232,000546,000546.SZ
233,000547,000547.SZ
234,000548,000548.SZ
235,000549,000549.SZ
236,000550,000550.SZ
238,000551,000551.SZ
239,000552,000552.SZ
240,000553,000553.SZ
242,000554,000554.SZ
243,000555,000555.SZ
245,000557,000557.SZ
246,000558,000558.SZ
247,000559,000559.SZ
248,000560,000560.SZ
249,000561,000561.SZ
250,000562,000562.SZ
251,000563,000563.SZ
252,000564,000564.SZ
253,000565,000565.SZ
254,000566,000566.SZ
255,000567,000567.SZ
256,000568,000568.SZ
257,000569,000569.SZ
258,000570,000570.SZ
260,000571,000571.SZ
261,000572,000572.SZ
262,000573,000573.SZ
263,000576,000576.SZ
264,000578,000578.SZ
265,000581,000581.SZ
267,000582,000582.SZ
269,000584,000584.SZ
270,000585,000585.SZ
272,000586,000586.SZ
273,000587,000587.SZ
275,000589,000589.SZ
276,000590,000590.SZ
277,000591,000591.SZ
278,000592,000592.SZ
279,000593,000593.SZ
281,000595,000595.SZ
282,000596,000596.SZ
284,000597,000597.SZ
285,000598,000598.SZ
286,000599,000599.SZ
287,000600,000600.SZ
288,000601,000601.SZ
289,000602,000602.SZ
290,000603,000603.SZ
291,000605,000605.SZ
292,000606,000606.SZ
293,000607,000607.SZ
294,000608,000608.SZ
295,000609,000609.SZ
296,000610,000610.SZ
297,000611,000611.SZ
298,000612,000612.SZ
299,000613,000613.SZ
301,000615,000615.SZ
302,000616,000616.SZ
303,000617,000617.SZ
304,000618,000618.SZ
306,000619,000619.SZ
307,000620,000620.SZ
309,000622,000622.SZ
310,000623,000623.SZ
311,000625,000625.SZ
313,000626,000626.SZ
314,000627,000627.SZ
315,000628,000628.SZ
316,000629,000629.SZ
318,000630,000630.SZ
320,000631,000631.SZ
321,000632,000632.SZ
322,000633,000633.SZ
323,000635,000635.SZ
324,000636,000636.SZ
325,000637,000637.SZ
326,000638,000638.SZ
327,000639,000639.SZ
328,000650,000650.SZ
329,000651,000651.SZ
330,000652,000652.SZ
332,000655,000655.SZ
333,000656,000656.SZ
334,000657,000657.SZ
336,000659,000659.SZ
338,000661,000661.SZ
339,000662,000662.SZ
340,000663,000663.SZ
341,000665,000665.SZ
342,000666,000666.SZ
344,000667,000667.SZ
345,000668,000668.SZ
346,000669,000669.SZ
347,000670,000670.SZ
348,000671,000671.SZ
349,000672,000672.SZ
350,000673,000673.SZ
352,000676,000676.SZ
353,000677,000677.SZ
354,000678,000678.SZ
355,000679,000679.SZ
356,000680,000680.SZ
357,000681,000681.SZ
358,000682,000682.SZ
359,000683,000683.SZ
360,000685,000685.SZ
361,000686,000686.SZ
362,000687,000687.SZ
363,000688,000688.SZ
365,000690,000690.SZ
366,000691,000691.SZ
367,000692,000692.SZ
368,000693,000693.SZ
369,000695,000695.SZ
372,001696,001696.SZ
373,000697,000697.SZ
374,000698,000698.SZ
376,000700,000700.SZ
377,000701,000701.SZ
378,000702,000702.SZ
379,000703,000703.SZ
380,000705,000705.SZ
381,000707,000707.SZ
382,000708,000708.SZ
383,000709,000709.SZ
384,000710,000710.SZ
385,000711,000711.SZ
386,000712,000712.SZ
387,000713,000713.SZ
388,000715,000715.SZ
389,000716,000716.SZ
390,000717,000717.SZ
391,000718,000718.SZ
392,000719,000719.SZ
393,000720,000720.SZ
394,000721,000721.SZ
395,000722,000722.SZ
396,000723,000723.SZ
397,000725,000725.SZ
399,000726,000726.SZ
401,000727,000727.SZ
402,000728,000728.SZ
403,000729,000729.SZ
406,000731,000731.SZ
407,000732,000732.SZ
408,000733,000733.SZ
409,000735,000735.SZ
